GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,412,412.43660,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,97,97.27854,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,8,7.66830,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,427,427.44530,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,3522,3522.27500,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,52,52.11227,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,16482,16482.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,2502,2501.82800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,691,690.75950,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,736,735.88680,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,751,751.00980,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1175,1175.08700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,137,137.35590,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,1852,1852.35400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1852,1852.35400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,106,105.50850,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,199,199.21800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,3743,3743.02400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,4229,4229.15200,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,2,1.80078,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,721,721.29120,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1044,1044.25100,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,13046,13046.22000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,701,701.00230,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,457,456.84140,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2121,2121.03800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,5,5.02876,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,461,461.12190,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,4043,4042.51700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,4264,4263.93000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1257,1256.58500,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,2838,2838.43300,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,4,4.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,101,101.27990,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,4995,4995.35500,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1461,1461.42800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,836,835.72880,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,95,94.65000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,744,743.60080,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2610,2610.13200,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,2318,2317.86300,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,353,353.02800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,357,356.64250,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,5485,5484.63200,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,305,305.11710,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,1604,1604.31400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,56,55.58092,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,3604,3604.26200,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,726,726.24300,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,4435,4434.82400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,3,2.98364,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,497,497.12710,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,736,735.79090,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,568,568.03010,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,96,96.02384,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,3,3.19878,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,788,788.10040,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,5056,5056.29100,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,122,122.35090,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,1908,1908.38600,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,671,670.92000,,,,,
