Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zimbabwe,ZWE,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,8.43
Zimbabwe,ZWE,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,6.71
Zimbabwe,ZWE,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.72
Zimbabwe,ZWE,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,4.16
Zimbabwe,ZWE,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.9
Zimbabwe,ZWE,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.8
Zimbabwe,ZWE,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.8
Zimbabwe,ZWE,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.9
Zimbabwe,ZWE,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.1
Zimbabwe,ZWE,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.3
Zimbabwe,ZWE,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.6
Zimbabwe,ZWE,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30
Zimbabwe,ZWE,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.4
Zimbabwe,ZWE,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.9
Zimbabwe,ZWE,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.4
Zimbabwe,ZWE,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.9
Zimbabwe,ZWE,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.2
Zimbabwe,ZWE,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.6
Zimbabwe,ZWE,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.8
Zimbabwe,ZWE,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.9
Zimbabwe,ZWE,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.1
Zimbabwe,ZWE,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.2
Zimbabwe,ZWE,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.5
Zimbabwe,ZWE,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.9
Zimbabwe,ZWE,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,37.8
Zimbabwe,ZWE,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,38.5
Zimbabwe,ZWE,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,39.6
Zimbabwe,ZWE,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.5
Zimbabwe,ZWE,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,41.7
Zimbabwe,ZWE,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,42.8
Zimbabwe,ZWE,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,44.3
Zimbabwe,ZWE,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,46.2
Zimbabwe,ZWE,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.3
Zimbabwe,ZWE,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,49.8
Zimbabwe,ZWE,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,50.8
Zimbabwe,ZWE,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,51.2
Zimbabwe,ZWE,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,51
Zimbabwe,ZWE,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,50.2
Zimbabwe,ZWE,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,48.9
Zimbabwe,ZWE,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,47.5
Zimbabwe,ZWE,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,45.9
Zimbabwe,ZWE,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,44.2
Zimbabwe,ZWE,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,42.5
Zimbabwe,ZWE,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,41
Zimbabwe,ZWE,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.7
Zimbabwe,ZWE,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.6
Zimbabwe,ZWE,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.6
Zimbabwe,ZWE,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.7
Zimbabwe,ZWE,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.8
Zimbabwe,ZWE,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29
Zimbabwe,ZWE,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.3
Zimbabwe,ZWE,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.7
Zimbabwe,ZWE,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.1
Zimbabwe,ZWE,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.6
Zimbabwe,ZWE,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.1
Zimbabwe,ZWE,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.6
Zimbabwe,ZWE,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.1
Zimbabwe,ZWE,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.4
Zimbabwe,ZWE,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.7
Zimbabwe,ZWE,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.8
Zimbabwe,ZWE,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33
Zimbabwe,ZWE,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.2
Zimbabwe,ZWE,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.6
Zimbabwe,ZWE,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.9
Zimbabwe,ZWE,2014,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,43.4
Zimbabwe,ZWE,2011,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,12.1
Zimbabwe,ZWE,2006,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,8.6
Zimbabwe,ZWE,1999,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,11.3
Zimbabwe,ZWE,1994,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,12.4
Zimbabwe,ZWE,2014,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,64.6
Zimbabwe,ZWE,2011,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,51.8
Zimbabwe,ZWE,2006,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,51.6
Zimbabwe,ZWE,1999,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,55.7
Zimbabwe,ZWE,1994,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,48.5
Zimbabwe,ZWE,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,47.6473006196949
Zimbabwe,ZWE,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,51.2479086872291
Zimbabwe,ZWE,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,61.9820966392934
Zimbabwe,ZWE,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,78.6371093809819
Zimbabwe,ZWE,2020,Number of infant deaths,SH.DTH.IMRT,16354
Zimbabwe,ZWE,2019,Number of infant deaths,SH.DTH.IMRT,16615
Zimbabwe,ZWE,2018,Number of infant deaths,SH.DTH.IMRT,17196
Zimbabwe,ZWE,2017,Number of infant deaths,SH.DTH.IMRT,18018
Zimbabwe,ZWE,2016,Number of infant deaths,SH.DTH.IMRT,18753
Zimbabwe,ZWE,2015,Number of infant deaths,SH.DTH.IMRT,19665
Zimbabwe,ZWE,2014,Number of infant deaths,SH.DTH.IMRT,20245
Zimbabwe,ZWE,2013,Number of infant deaths,SH.DTH.IMRT,21210
Zimbabwe,ZWE,2012,Number of infant deaths,SH.DTH.IMRT,21931
Zimbabwe,ZWE,2011,Number of infant deaths,SH.DTH.IMRT,23680
Zimbabwe,ZWE,2010,Number of infant deaths,SH.DTH.IMRT,23804
Zimbabwe,ZWE,2009,Number of infant deaths,SH.DTH.IMRT,24133
Zimbabwe,ZWE,2008,Number of infant deaths,SH.DTH.IMRT,23711
Zimbabwe,ZWE,2007,Number of infant deaths,SH.DTH.IMRT,23113
Zimbabwe,ZWE,2006,Number of infant deaths,SH.DTH.IMRT,22017
Zimbabwe,ZWE,2005,Number of infant deaths,SH.DTH.IMRT,20791
Zimbabwe,ZWE,2004,Number of infant deaths,SH.DTH.IMRT,20130
Zimbabwe,ZWE,2003,Number of infant deaths,SH.DTH.IMRT,19451
Zimbabwe,ZWE,2002,Number of infant deaths,SH.DTH.IMRT,19261
Zimbabwe,ZWE,2001,Number of infant deaths,SH.DTH.IMRT,19175
Zimbabwe,ZWE,2000,Number of infant deaths,SH.DTH.IMRT,19301
Zimbabwe,ZWE,1999,Number of infant deaths,SH.DTH.IMRT,19623
Zimbabwe,ZWE,1998,Number of infant deaths,SH.DTH.IMRT,20086
Zimbabwe,ZWE,1997,Number of infant deaths,SH.DTH.IMRT,20473
Zimbabwe,ZWE,1996,Number of infant deaths,SH.DTH.IMRT,20714
Zimbabwe,ZWE,1995,Number of infant deaths,SH.DTH.IMRT,20652
Zimbabwe,ZWE,1994,Number of infant deaths,SH.DTH.IMRT,20226
Zimbabwe,ZWE,1993,Number of infant deaths,SH.DTH.IMRT,19822
Zimbabwe,ZWE,1992,Number of infant deaths,SH.DTH.IMRT,19381
Zimbabwe,ZWE,1991,Number of infant deaths,SH.DTH.IMRT,18984
Zimbabwe,ZWE,1990,Number of infant deaths,SH.DTH.IMRT,18705
Zimbabwe,ZWE,1989,Number of infant deaths,SH.DTH.IMRT,18530
Zimbabwe,ZWE,1988,Number of infant deaths,SH.DTH.IMRT,18505
Zimbabwe,ZWE,1987,Number of infant deaths,SH.DTH.IMRT,18651
Zimbabwe,ZWE,1986,Number of infant deaths,SH.DTH.IMRT,18935
Zimbabwe,ZWE,1985,Number of infant deaths,SH.DTH.IMRT,19502
Zimbabwe,ZWE,1984,Number of infant deaths,SH.DTH.IMRT,20242
Zimbabwe,ZWE,1983,Number of infant deaths,SH.DTH.IMRT,21111
Zimbabwe,ZWE,1982,Number of infant deaths,SH.DTH.IMRT,21980
Zimbabwe,ZWE,1981,Number of infant deaths,SH.DTH.IMRT,22713
Zimbabwe,ZWE,1980,Number of infant deaths,SH.DTH.IMRT,23175
Zimbabwe,ZWE,1979,Number of infant deaths,SH.DTH.IMRT,23276
Zimbabwe,ZWE,1978,Number of infant deaths,SH.DTH.IMRT,23098
Zimbabwe,ZWE,1977,Number of infant deaths,SH.DTH.IMRT,22638
Zimbabwe,ZWE,1976,Number of infant deaths,SH.DTH.IMRT,21993
Zimbabwe,ZWE,1975,Number of infant deaths,SH.DTH.IMRT,21253
Zimbabwe,ZWE,1974,Number of infant deaths,SH.DTH.IMRT,20475
Zimbabwe,ZWE,1973,Number of infant deaths,SH.DTH.IMRT,19740
Zimbabwe,ZWE,1972,Number of infant deaths,SH.DTH.IMRT,19058
Zimbabwe,ZWE,1971,Number of infant deaths,SH.DTH.IMRT,18455
Zimbabwe,ZWE,1970,Number of infant deaths,SH.DTH.IMRT,17950
Zimbabwe,ZWE,1969,Number of infant deaths,SH.DTH.IMRT,17557
Zimbabwe,ZWE,1968,Number of infant deaths,SH.DTH.IMRT,17252
Zimbabwe,ZWE,1967,Number of infant deaths,SH.DTH.IMRT,17059
Zimbabwe,ZWE,1966,Number of infant deaths,SH.DTH.IMRT,16940
Zimbabwe,ZWE,1965,Number of infant deaths,SH.DTH.IMRT,16851
Zimbabwe,ZWE,1964,Number of infant deaths,SH.DTH.IMRT,16790
Zimbabwe,ZWE,1963,Number of infant deaths,SH.DTH.IMRT,16735
Zimbabwe,ZWE,1962,Number of infant deaths,SH.DTH.IMRT,16641
Zimbabwe,ZWE,1961,Number of infant deaths,SH.DTH.IMRT,16514
Zimbabwe,ZWE,1960,Number of infant deaths,SH.DTH.IMRT,16350
Zimbabwe,ZWE,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,13.0944706390617
Zimbabwe,ZWE,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,11.8055429375437
Zimbabwe,ZWE,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.13986329519492
Zimbabwe,ZWE,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.35350573977453
Zimbabwe,ZWE,2020,Number of under-five deaths,SH.DTH.MORT,23533
Zimbabwe,ZWE,2019,Number of under-five deaths,SH.DTH.MORT,24006
Zimbabwe,ZWE,2018,Number of under-five deaths,SH.DTH.MORT,24648
Zimbabwe,ZWE,2017,Number of under-five deaths,SH.DTH.MORT,26069
Zimbabwe,ZWE,2016,Number of under-five deaths,SH.DTH.MORT,27195
Zimbabwe,ZWE,2015,Number of under-five deaths,SH.DTH.MORT,28708
Zimbabwe,ZWE,2014,Number of under-five deaths,SH.DTH.MORT,29507
Zimbabwe,ZWE,2013,Number of under-five deaths,SH.DTH.MORT,31096
Zimbabwe,ZWE,2012,Number of under-five deaths,SH.DTH.MORT,33485
Zimbabwe,ZWE,2011,Number of under-five deaths,SH.DTH.MORT,36899
Zimbabwe,ZWE,2010,Number of under-five deaths,SH.DTH.MORT,38616
Zimbabwe,ZWE,2009,Number of under-five deaths,SH.DTH.MORT,39804
Zimbabwe,ZWE,2008,Number of under-five deaths,SH.DTH.MORT,40138
Zimbabwe,ZWE,2007,Number of under-five deaths,SH.DTH.MORT,39658
Zimbabwe,ZWE,2006,Number of under-five deaths,SH.DTH.MORT,38398
Zimbabwe,ZWE,2005,Number of under-five deaths,SH.DTH.MORT,36797
Zimbabwe,ZWE,2004,Number of under-five deaths,SH.DTH.MORT,35827
Zimbabwe,ZWE,2003,Number of under-five deaths,SH.DTH.MORT,34954
Zimbabwe,ZWE,2002,Number of under-five deaths,SH.DTH.MORT,34884
Zimbabwe,ZWE,2001,Number of under-five deaths,SH.DTH.MORT,34969
Zimbabwe,ZWE,2000,Number of under-five deaths,SH.DTH.MORT,35389
Zimbabwe,ZWE,1999,Number of under-five deaths,SH.DTH.MORT,35824
Zimbabwe,ZWE,1998,Number of under-five deaths,SH.DTH.MORT,36324
Zimbabwe,ZWE,1997,Number of under-five deaths,SH.DTH.MORT,36613
Zimbabwe,ZWE,1996,Number of under-five deaths,SH.DTH.MORT,36514
Zimbabwe,ZWE,1995,Number of under-five deaths,SH.DTH.MORT,35883
Zimbabwe,ZWE,1994,Number of under-five deaths,SH.DTH.MORT,34804
Zimbabwe,ZWE,1993,Number of under-five deaths,SH.DTH.MORT,33510
Zimbabwe,ZWE,1992,Number of under-five deaths,SH.DTH.MORT,31990
Zimbabwe,ZWE,1991,Number of under-five deaths,SH.DTH.MORT,30486
Zimbabwe,ZWE,1990,Number of under-five deaths,SH.DTH.MORT,29244
Zimbabwe,ZWE,1989,Number of under-five deaths,SH.DTH.MORT,28213
Zimbabwe,ZWE,1988,Number of under-five deaths,SH.DTH.MORT,27650
Zimbabwe,ZWE,1987,Number of under-five deaths,SH.DTH.MORT,27585
Zimbabwe,ZWE,1986,Number of under-five deaths,SH.DTH.MORT,28022
Zimbabwe,ZWE,1985,Number of under-five deaths,SH.DTH.MORT,29020
Zimbabwe,ZWE,1984,Number of under-five deaths,SH.DTH.MORT,30419
Zimbabwe,ZWE,1983,Number of under-five deaths,SH.DTH.MORT,32044
Zimbabwe,ZWE,1982,Number of under-five deaths,SH.DTH.MORT,33650
Zimbabwe,ZWE,1981,Number of under-five deaths,SH.DTH.MORT,34977
Zimbabwe,ZWE,1980,Number of under-five deaths,SH.DTH.MORT,35783
Zimbabwe,ZWE,1979,Number of under-five deaths,SH.DTH.MORT,35946
Zimbabwe,ZWE,1978,Number of under-five deaths,SH.DTH.MORT,35613
Zimbabwe,ZWE,1977,Number of under-five deaths,SH.DTH.MORT,34815
Zimbabwe,ZWE,1976,Number of under-five deaths,SH.DTH.MORT,33739
Zimbabwe,ZWE,1975,Number of under-five deaths,SH.DTH.MORT,32546
Zimbabwe,ZWE,1974,Number of under-five deaths,SH.DTH.MORT,31329
Zimbabwe,ZWE,1973,Number of under-five deaths,SH.DTH.MORT,30211
Zimbabwe,ZWE,1972,Number of under-five deaths,SH.DTH.MORT,29195
Zimbabwe,ZWE,1971,Number of under-five deaths,SH.DTH.MORT,28312
Zimbabwe,ZWE,1970,Number of under-five deaths,SH.DTH.MORT,27586
Zimbabwe,ZWE,1969,Number of under-five deaths,SH.DTH.MORT,27037
Zimbabwe,ZWE,1968,Number of under-five deaths,SH.DTH.MORT,26633
Zimbabwe,ZWE,1967,Number of under-five deaths,SH.DTH.MORT,26412
Zimbabwe,ZWE,1966,Number of under-five deaths,SH.DTH.MORT,26311
Zimbabwe,ZWE,1965,Number of under-five deaths,SH.DTH.MORT,26253
Zimbabwe,ZWE,1964,Number of under-five deaths,SH.DTH.MORT,26241
Zimbabwe,ZWE,1963,Number of under-five deaths,SH.DTH.MORT,26241
Zimbabwe,ZWE,1962,Number of under-five deaths,SH.DTH.MORT,26178
Zimbabwe,ZWE,1961,Number of under-five deaths,SH.DTH.MORT,26062
Zimbabwe,ZWE,1960,Number of under-five deaths,SH.DTH.MORT,25888
Zimbabwe,ZWE,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,39.2582275747306
Zimbabwe,ZWE,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,36.9465489799274
Zimbabwe,ZWE,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,28.8780396569393
Zimbabwe,ZWE,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,16.0093864697526
Zimbabwe,ZWE,2020,Number of neonatal deaths,SH.DTH.NMRT,11109
Zimbabwe,ZWE,2019,Number of neonatal deaths,SH.DTH.NMRT,11436
Zimbabwe,ZWE,2018,Number of neonatal deaths,SH.DTH.NMRT,11792
Zimbabwe,ZWE,2017,Number of neonatal deaths,SH.DTH.NMRT,12170
Zimbabwe,ZWE,2016,Number of neonatal deaths,SH.DTH.NMRT,12588
Zimbabwe,ZWE,2015,Number of neonatal deaths,SH.DTH.NMRT,12974
Zimbabwe,ZWE,2014,Number of neonatal deaths,SH.DTH.NMRT,13345
Zimbabwe,ZWE,2013,Number of neonatal deaths,SH.DTH.NMRT,13695
Zimbabwe,ZWE,2012,Number of neonatal deaths,SH.DTH.NMRT,14011
Zimbabwe,ZWE,2011,Number of neonatal deaths,SH.DTH.NMRT,14249
Zimbabwe,ZWE,2010,Number of neonatal deaths,SH.DTH.NMRT,14339
Zimbabwe,ZWE,2009,Number of neonatal deaths,SH.DTH.NMRT,14222
Zimbabwe,ZWE,2008,Number of neonatal deaths,SH.DTH.NMRT,13853
Zimbabwe,ZWE,2007,Number of neonatal deaths,SH.DTH.NMRT,13265
Zimbabwe,ZWE,2006,Number of neonatal deaths,SH.DTH.NMRT,12601
Zimbabwe,ZWE,2005,Number of neonatal deaths,SH.DTH.NMRT,11920
Zimbabwe,ZWE,2004,Number of neonatal deaths,SH.DTH.NMRT,11285
Zimbabwe,ZWE,2003,Number of neonatal deaths,SH.DTH.NMRT,10671
Zimbabwe,ZWE,2002,Number of neonatal deaths,SH.DTH.NMRT,10080
Zimbabwe,ZWE,2001,Number of neonatal deaths,SH.DTH.NMRT,9586
Zimbabwe,ZWE,2000,Number of neonatal deaths,SH.DTH.NMRT,9252
Zimbabwe,ZWE,1999,Number of neonatal deaths,SH.DTH.NMRT,9139
Zimbabwe,ZWE,1998,Number of neonatal deaths,SH.DTH.NMRT,9142
Zimbabwe,ZWE,1997,Number of neonatal deaths,SH.DTH.NMRT,9161
Zimbabwe,ZWE,1996,Number of neonatal deaths,SH.DTH.NMRT,9126
